resume_skills,jd_skills,label
"Leadership, Effective Communication, Confidence, Collaboration","Creativity, Team Collaboration, Public Speaking",0.21919276627632328
"Creativity, Problem Solving, Teamwork, Leadership, Analytical Thinking, Conflict Resolution","Interpersonal Skills, Decision Making, Coaching, Problem Solving, Creativity, Adaptability",0.2505756394949366
"Networking, Team Collaboration, Emotional Intelligence, Interpersonal Skills","Confidence, Networking, Collaboration, Problem Solving",0.5014147399793929
"Empathy, Mentorship, Patience","Emotional Intelligence, Empathy, Leadership, Problem Solving, Team Collaboration",0.49069501158065404
"Teamwork, Stress Management, Adaptability, Time Management, Effective Communication","Analytical Thinking, Problem Solving, Collaboration, Teamwork, Public Speaking",0.5398830712743978
"Mentorship, Stress Management, Adaptability, Patience","Collaboration, Stress Management, Empathy, Work Ethic, Effective Communication",0.47998552733181576
"Networking, Team Collaboration, Analytical Thinking, Negotiation, Patience","Mentorship, Collaboration, Time Management, Coaching, Empathy, Networking",0.2204683014285863
"Leadership, Work Ethic, Coaching, Critical Thinking, Emotional Intelligence","Effective Communication, Interpersonal Skills, Adaptability, Communication, Time Management, Stress Management",0.5092232453408887
"Decision Making, Analytical Thinking, Mentorship, Confidence, Adaptability","Mentorship, Collaboration, Active Listening, Confidence, Negotiation, Work Ethic",0.5000583147286135
"Confidence, Problem Solving, Creativity, Networking, Interpersonal Skills, Patience","Patience, Time Management, Problem Solving, Decision Making, Analytical Thinking",0.19141719393170917
"Team Collaboration, Teamwork, Emotional Intelligence","Conflict Resolution, Teamwork, Interpersonal Skills, Stress Management, Adaptability, Negotiation",0.13106594615913567
"Teamwork, Effective Communication, Networking, Creativity, Problem Solving","Collaboration, Communication, Interpersonal Skills, Decision Making, Stress Management, Patience",0.4313364863564269
"Active Listening, Work Ethic, Emotional Intelligence, Team Collaboration, Interpersonal Skills, Critical Thinking","Effective Communication, Stress Management, Patience",0.4409087035467034
"Adaptability, Teamwork, Time Management, Negotiation","Critical Thinking, Decision Making, Networking, Public Speaking, Problem Solving, Interpersonal Skills",0.20955081742830514
"Empathy, Stress Management, Active Listening, Analytical Thinking, Public Speaking, Patience","Coaching, Public Speaking, Problem Solving",0.29013979772469956
"Conflict Resolution, Analytical Thinking, Stress Management, Problem Solving","Mentorship, Decision Making, Empathy, Collaboration",0.4793450748885516
"Time Management, Coaching, Creativity, Team Collaboration, Networking, Mentorship","Effective Communication, Interpersonal Skills, Patience, Collaboration",0.41961252949014743
"Problem Solving, Decision Making, Communication","Decision Making, Adaptability, Emotional Intelligence, Active Listening, Problem Solving, Critical Thinking",0.22046720874096354
"Analytical Thinking, Active Listening, Creativity, Mentorship, Patience","Active Listening, Communication, Problem Solving, Patience, Stress Management",0.26176151035111805
"Collaboration, Leadership, Public Speaking, Conflict Resolution, Problem Solving, Team Collaboration","Networking, Time Management, Active Listening, Empathy, Public Speaking",0.17149668808616614
"Work Ethic, Adaptability, Coaching, Networking, Active Listening, Creativity","Confidence, Negotiation, Teamwork, Networking, Coaching, Interpersonal Skills",0.1923111061288312
"Collaboration, Leadership, Stress Management, Work Ethic","Interpersonal Skills, Communication, Coaching, Negotiation",0.572259803183381
"Time Management, Critical Thinking, Conflict Resolution, Emotional Intelligence","Analytical Thinking, Teamwork, Time Management, Critical Thinking, Stress Management, Adaptability",0.19226153365553386
"Time Management, Interpersonal Skills, Negotiation, Networking, Creativity, Critical Thinking","Empathy, Coaching, Adaptability, Work Ethic, Negotiation, Interpersonal Skills",0.12283390408831785
"Analytical Thinking, Decision Making, Negotiation","Problem Solving, Empathy, Analytical Thinking, Teamwork",0.18240272191707335
"Adaptability, Analytical Thinking, Team Collaboration, Patience","Collaboration, Teamwork, Negotiation",0.5030638817390645
"Critical Thinking, Confidence, Networking, Leadership, Analytical Thinking, Coaching","Coaching, Team Collaboration, Conflict Resolution",0.4533614256093278
"Teamwork, Confidence, Communication, Collaboration","Interpersonal Skills, Communication, Effective Communication",0.19465052921471424
"Negotiation, Collaboration, Teamwork, Critical Thinking, Mentorship","Empathy, Confidence, Public Speaking",0.5039152814098582
"Decision Making, Creativity, Coaching, Critical Thinking","Negotiation, Communication, Conflict Resolution",0.2732604738659501
"Communication, Empathy, Collaboration, Adaptability","Work Ethic, Coaching, Mentorship, Effective Communication, Confidence",0.2525979058274335
"Time Management, Active Listening, Effective Communication","Collaboration, Confidence, Emotional Intelligence, Decision Making, Analytical Thinking, Time Management",0.4113541899638696
"Time Management, Adaptability, Critical Thinking","Active Listening, Effective Communication, Mentorship, Public Speaking",0.14041592727002014
"Coaching, Collaboration, Emotional Intelligence","Public Speaking, Coaching, Conflict Resolution, Creativity, Time Management",0.16059800252986045
"Empathy, Leadership, Communication, Adaptability, Work Ethic","Patience, Effective Communication, Interpersonal Skills",0.13098543927723003
"Negotiation, Patience, Public Speaking","Conflict Resolution, Time Management, Confidence, Mentorship",0.19041517141643258
"Public Speaking, Empathy, Patience, Teamwork, Adaptability, Analytical Thinking","Collaboration, Patience, Decision Making, Empathy, Time Management",0.5716325251751171
"Work Ethic, Public Speaking, Effective Communication, Problem Solving, Coaching","Stress Management, Collaboration, Networking, Creativity",0.47097355724100476
"Negotiation, Confidence, Effective Communication","Effective Communication, Collaboration, Patience, Critical Thinking, Interpersonal Skills",0.421362380905469
"Problem Solving, Creativity, Public Speaking, Time Management, Conflict Resolution, Collaboration","Adaptability, Active Listening, Empathy",0.2507753539191127
"Adaptability, Negotiation, Coaching","Collaboration, Negotiation, Decision Making, Active Listening, Problem Solving, Communication",0.18071810001076216
"Coaching, Interpersonal Skills, Critical Thinking","Collaboration, Communication, Patience, Time Management, Confidence, Emotional Intelligence",0.4599475975003615
"Conflict Resolution, Work Ethic, Patience, Effective Communication","Decision Making, Teamwork, Analytical Thinking, Public Speaking",0.4891960500238581
"Conflict Resolution, Public Speaking, Patience","Empathy, Communication, Stress Management, Adaptability, Coaching",0.5783459711181348
"Communication, Empathy, Patience, Conflict Resolution, Leadership, Networking","Stress Management, Empathy, Mentorship, Patience, Conflict Resolution, Creativity",0.2999568190647061
"Work Ethic, Communication, Adaptability, Teamwork, Effective Communication","Problem Solving, Coaching, Creativity, Leadership, Effective Communication, Confidence",0.14025548300754967
"Active Listening, Teamwork, Collaboration, Negotiation, Conflict Resolution, Time Management","Stress Management, Work Ethic, Interpersonal Skills, Conflict Resolution, Effective Communication, Patience",0.5002255870303658
"Effective Communication, Active Listening, Time Management, Emotional Intelligence, Patience, Negotiation","Creativity, Team Collaboration, Networking, Interpersonal Skills, Problem Solving, Stress Management",0.5695337901429603
"Conflict Resolution, Communication, Work Ethic, Interpersonal Skills, Team Collaboration","Patience, Emotional Intelligence, Stress Management, Negotiation, Public Speaking, Creativity",0.5788345855185985
"Mentorship, Confidence, Collaboration, Public Speaking","Effective Communication, Mentorship, Time Management",0.5892733844782687
"Networking, Team Collaboration, Effective Communication","Creativity, Leadership, Public Speaking, Collaboration, Patience, Coaching",0.41885242702483555
"Communication, Decision Making, Work Ethic, Active Listening","Coaching, Emotional Intelligence, Active Listening, Empathy, Mentorship, Collaboration",0.5584864072641496
"Confidence, Mentorship, Coaching","Conflict Resolution, Analytical Thinking, Emotional Intelligence, Problem Solving, Patience",0.26762662950216753
"Creativity, Empathy, Teamwork, Team Collaboration, Time Management","Problem Solving, Teamwork, Empathy, Active Listening, Conflict Resolution, Mentorship",0.5282327518095349
"Adaptability, Decision Making, Networking, Confidence","Communication, Coaching, Patience, Creativity, Time Management, Decision Making",0.2880218044010661
"Analytical Thinking, Confidence, Creativity, Problem Solving, Public Speaking, Empathy","Networking, Time Management, Public Speaking, Empathy",0.2688328918624092
"Patience, Analytical Thinking, Team Collaboration","Networking, Coaching, Teamwork, Conflict Resolution, Adaptability",0.5284644885531223
"Stress Management, Negotiation, Active Listening, Confidence","Stress Management, Emotional Intelligence, Time Management",0.45868287010388775
"Patience, Negotiation, Stress Management","Analytical Thinking, Mentorship, Team Collaboration, Empathy, Effective Communication, Negotiation",0.11831126681832349
"Effective Communication, Mentorship, Conflict Resolution, Public Speaking","Negotiation, Problem Solving, Interpersonal Skills, Empathy",0.49808370283574865
"Confidence, Patience, Mentorship, Problem Solving, Teamwork, Communication","Empathy, Adaptability, Team Collaboration",0.12811848360737607
"Coaching, Active Listening, Collaboration","Mentorship, Decision Making, Conflict Resolution, Emotional Intelligence",0.5677253076084189
"Decision Making, Coaching, Team Collaboration, Adaptability","Coaching, Stress Management, Emotional Intelligence, Adaptability",0.27849548816159436
"Critical Thinking, Collaboration, Leadership, Time Management, Conflict Resolution","Effective Communication, Negotiation, Stress Management, Leadership",0.41903597199019227
"Collaboration, Empathy, Stress Management","Emotional Intelligence, Empathy, Patience, Work Ethic, Creativity, Team Collaboration",0.4687430397740605
"Active Listening, Creativity, Adaptability, Teamwork","Networking, Stress Management, Negotiation, Effective Communication, Mentorship",0.5379836904848663
"Effective Communication, Communication, Interpersonal Skills","Time Management, Conflict Resolution, Patience, Leadership",0.23755255926364438
"Public Speaking, Effective Communication, Emotional Intelligence, Negotiation, Creativity, Interpersonal Skills","Effective Communication, Public Speaking, Analytical Thinking, Adaptability, Critical Thinking, Communication",0.5387816689212015
"Mentorship, Teamwork, Stress Management","Creativity, Collaboration, Patience",0.20851163093559785
"Decision Making, Work Ethic, Coaching, Critical Thinking","Networking, Problem Solving, Team Collaboration",0.2181556390663329
"Adaptability, Teamwork, Stress Management, Patience","Decision Making, Time Management, Communication",0.2877867986320834
"Creativity, Negotiation, Active Listening, Analytical Thinking, Adaptability, Stress Management","Interpersonal Skills, Collaboration, Empathy, Teamwork, Problem Solving, Patience",0.5572818038885108
"Creativity, Leadership, Work Ethic","Mentorship, Problem Solving, Creativity",0.557686733378099
"Critical Thinking, Conflict Resolution, Confidence, Problem Solving, Teamwork, Decision Making","Team Collaboration, Creativity, Interpersonal Skills, Effective Communication, Negotiation",0.12763047331999186
"Time Management, Analytical Thinking, Leadership, Collaboration, Public Speaking","Time Management, Critical Thinking, Mentorship, Negotiation",0.5683895176603359
"Negotiation, Mentorship, Analytical Thinking, Adaptability, Interpersonal Skills","Creativity, Time Management, Effective Communication, Negotiation, Leadership",0.21871172532646194
"Leadership, Coaching, Teamwork","Confidence, Conflict Resolution, Active Listening",0.14814524856635455
"Interpersonal Skills, Critical Thinking, Time Management","Analytical Thinking, Collaboration, Emotional Intelligence, Public Speaking, Work Ethic, Effective Communication",0.4476862441209133
"Public Speaking, Confidence, Collaboration","Negotiation, Public Speaking, Communication, Work Ethic, Collaboration, Problem Solving",0.14848301845692555
"Critical Thinking, Mentorship, Interpersonal Skills, Work Ethic, Creativity","Empathy, Patience, Analytical Thinking, Collaboration, Decision Making, Coaching",0.12822936112222053
"Critical Thinking, Active Listening, Communication, Coaching, Interpersonal Skills","Patience, Team Collaboration, Mentorship, Teamwork, Creativity",0.44805746497906784
"Time Management, Negotiation, Decision Making, Public Speaking, Patience, Mentorship","Decision Making, Adaptability, Coaching",0.5986427778626213
"Decision Making, Collaboration, Patience, Communication, Stress Management, Critical Thinking","Emotional Intelligence, Collaboration, Coaching, Work Ethic, Leadership",0.5286652120715931
"Leadership, Collaboration, Confidence, Emotional Intelligence, Conflict Resolution, Teamwork","Conflict Resolution, Negotiation, Work Ethic, Teamwork, Effective Communication, Mentorship",0.21965789475482228
"Empathy, Negotiation, Active Listening, Collaboration","Collaboration, Work Ethic, Leadership, Time Management, Mentorship, Interpersonal Skills",0.2996923610487401
"Critical Thinking, Time Management, Empathy","Stress Management, Emotional Intelligence, Collaboration, Patience",0.16913988349166637
"Analytical Thinking, Networking, Team Collaboration","Mentorship, Stress Management, Adaptability, Negotiation, Leadership",0.5583229908234266
"Leadership, Collaboration, Interpersonal Skills, Effective Communication, Decision Making, Conflict Resolution","Patience, Analytical Thinking, Networking, Decision Making, Coaching, Leadership",0.5084428719636744
"Coaching, Mentorship, Emotional Intelligence, Empathy, Creativity","Networking, Active Listening, Adaptability, Effective Communication, Creativity",0.4982802908240929
"Active Listening, Mentorship, Stress Management","Confidence, Teamwork, Critical Thinking, Team Collaboration, Coaching",0.5378572883196704
"Emotional Intelligence, Work Ethic, Networking, Stress Management, Patience, Adaptability","Leadership, Effective Communication, Adaptability, Team Collaboration, Emotional Intelligence",0.308462515226228
"Teamwork, Empathy, Patience, Creativity, Critical Thinking","Empathy, Problem Solving, Time Management",0.29881483885018695
"Teamwork, Mentorship, Networking, Creativity","Teamwork, Stress Management, Mentorship, Public Speaking",0.4394577188687615
"Empathy, Critical Thinking, Time Management","Analytical Thinking, Patience, Adaptability, Networking",0.11915509845620398
"Time Management, Decision Making, Teamwork, Problem Solving","Teamwork, Leadership, Interpersonal Skills, Team Collaboration",0.5198942811862033
"Work Ethic, Creativity, Leadership, Coaching, Public Speaking","Analytical Thinking, Coaching, Communication, Work Ethic, Stress Management",0.5806349601064039
"Networking, Stress Management, Confidence, Coaching, Active Listening, Effective Communication","Critical Thinking, Time Management, Analytical Thinking, Empathy, Team Collaboration, Conflict Resolution",0.43986659313060994
"Communication, Conflict Resolution, Work Ethic, Adaptability","Problem Solving, Mentorship, Collaboration, Patience, Interpersonal Skills",0.27906029267685617
"Creativity, Effective Communication, Leadership, Mentorship, Coaching, Stress Management","Empathy, Effective Communication, Interpersonal Skills",0.14944142047247969
"Patience, Coaching, Time Management, Empathy, Interpersonal Skills","Critical Thinking, Teamwork, Conflict Resolution, Mentorship, Public Speaking, Active Listening",0.5189691816218269
"Leadership, Mentorship, Critical Thinking, Adaptability","Coaching, Stress Management, Interpersonal Skills",0.538973831760733
"Interpersonal Skills, Team Collaboration, Networking","Effective Communication, Critical Thinking, Time Management, Decision Making, Interpersonal Skills",0.25831721340476854
"Adaptability, Empathy, Decision Making, Critical Thinking","Leadership, Creativity, Emotional Intelligence, Active Listening, Critical Thinking",0.4183207962907512
"Team Collaboration, Problem Solving, Creativity","Emotional Intelligence, Confidence, Coaching, Analytical Thinking, Leadership, Teamwork",0.4577688118017885
"Coaching, Team Collaboration, Patience, Empathy, Critical Thinking, Networking","Decision Making, Problem Solving, Conflict Resolution",0.4874750382185531
"Effective Communication, Active Listening, Critical Thinking","Team Collaboration, Leadership, Time Management, Creativity, Teamwork, Interpersonal Skills",0.26666895991740225
"Critical Thinking, Mentorship, Networking, Teamwork, Leadership","Stress Management, Mentorship, Team Collaboration, Critical Thinking, Adaptability",0.4476220536269715
"Analytical Thinking, Teamwork, Leadership","Stress Management, Teamwork, Coaching, Time Management, Empathy, Creativity",0.41765345493055067
"Stress Management, Confidence, Effective Communication, Communication","Critical Thinking, Collaboration, Stress Management, Adaptability, Interpersonal Skills, Mentorship",0.4578458264257186
"Adaptability, Confidence, Emotional Intelligence, Stress Management, Work Ethic","Decision Making, Conflict Resolution, Critical Thinking, Coaching",0.5172404068230485
"Teamwork, Empathy, Collaboration, Negotiation, Effective Communication, Patience","Creativity, Team Collaboration, Collaboration, Time Management, Analytical Thinking",0.5878479543105343
"Leadership, Problem Solving, Empathy, Communication, Active Listening","Negotiation, Emotional Intelligence, Team Collaboration, Teamwork, Communication",0.468118168190838
"Work Ethic, Public Speaking, Collaboration, Problem Solving","Work Ethic, Time Management, Public Speaking, Negotiation, Teamwork",0.558871349269146
"Active Listening, Analytical Thinking, Time Management","Conflict Resolution, Communication, Leadership, Teamwork",0.15835089768952565
"Interpersonal Skills, Networking, Problem Solving","Creativity, Coaching, Work Ethic, Team Collaboration",0.15789682974445451
"Negotiation, Effective Communication, Leadership","Empathy, Decision Making, Stress Management",0.5274559658475418
"Communication, Coaching, Collaboration, Interpersonal Skills, Empathy","Teamwork, Work Ethic, Communication",0.48785484534924306
"Negotiation, Leadership, Creativity, Public Speaking","Critical Thinking, Emotional Intelligence, Time Management, Collaboration, Active Listening, Interpersonal Skills",0.5373008749593229
"Networking, Patience, Problem Solving, Work Ethic, Collaboration","Empathy, Public Speaking, Negotiation, Team Collaboration, Active Listening",0.2870554700495775
"Public Speaking, Networking, Empathy, Emotional Intelligence, Conflict Resolution, Team Collaboration","Team Collaboration, Decision Making, Public Speaking, Conflict Resolution",0.23837066246703859
"Effective Communication, Coaching, Emotional Intelligence, Collaboration","Emotional Intelligence, Team Collaboration, Critical Thinking, Public Speaking",0.4989149497904959
"Leadership, Coaching, Public Speaking","Networking, Empathy, Analytical Thinking, Creativity",0.18824469556875031
"Decision Making, Interpersonal Skills, Public Speaking, Stress Management, Problem Solving, Communication","Coaching, Conflict Resolution, Patience, Leadership, Stress Management, Effective Communication",0.44891719584188594
"Confidence, Team Collaboration, Decision Making, Emotional Intelligence, Collaboration, Adaptability","Mentorship, Analytical Thinking, Leadership",0.3089275035146953
"Team Collaboration, Mentorship, Negotiation, Stress Management","Mentorship, Interpersonal Skills, Stress Management",0.499872468024597
"Analytical Thinking, Negotiation, Conflict Resolution","Work Ethic, Team Collaboration, Collaboration, Active Listening",0.21919190198114374
"Active Listening, Effective Communication, Mentorship, Confidence","Work Ethic, Empathy, Confidence, Analytical Thinking, Public Speaking, Stress Management",0.218956856171022
"Communication, Critical Thinking, Emotional Intelligence, Decision Making","Networking, Negotiation, Mentorship, Teamwork, Effective Communication",0.5582953152205214
"Time Management, Public Speaking, Communication, Teamwork, Interpersonal Skills, Critical Thinking","Public Speaking, Decision Making, Emotional Intelligence, Networking, Critical Thinking, Stress Management",0.19895243803349857
"Stress Management, Analytical Thinking, Interpersonal Skills, Collaboration","Stress Management, Work Ethic, Leadership, Decision Making, Communication",0.4193004201660514
"Public Speaking, Patience, Interpersonal Skills","Effective Communication, Problem Solving, Team Collaboration, Adaptability, Networking, Confidence",0.48868517068454276
"Adaptability, Analytical Thinking, Critical Thinking, Negotiation, Public Speaking","Confidence, Conflict Resolution, Creativity, Interpersonal Skills, Leadership",0.43816829999113593
"Effective Communication, Emotional Intelligence, Time Management, Empathy, Team Collaboration, Teamwork","Stress Management, Time Management, Collaboration, Teamwork, Problem Solving, Analytical Thinking",0.22912034515238044
"Collaboration, Emotional Intelligence, Active Listening, Problem Solving, Coaching","Communication, Patience, Time Management, Stress Management, Public Speaking",0.4086864406914849
"Stress Management, Critical Thinking, Negotiation, Analytical Thinking","Work Ethic, Adaptability, Emotional Intelligence, Communication, Confidence",0.5981478757584912
"Active Listening, Public Speaking, Confidence, Leadership, Adaptability, Communication","Networking, Analytical Thinking, Effective Communication, Creativity",0.1581391544814299
"Leadership, Patience, Interpersonal Skills, Teamwork, Work Ethic, Stress Management","Problem Solving, Conflict Resolution, Empathy, Negotiation, Collaboration, Confidence",0.5275826898710835
"Public Speaking, Communication, Team Collaboration, Emotional Intelligence, Negotiation","Critical Thinking, Effective Communication, Mentorship, Communication, Problem Solving",0.24798413186517715
"Communication, Emotional Intelligence, Critical Thinking","Interpersonal Skills, Team Collaboration, Confidence, Effective Communication",0.2375792509318183
"Conflict Resolution, Team Collaboration, Effective Communication, Communication, Leadership","Networking, Conflict Resolution, Public Speaking",0.5478373900025342
"Collaboration, Creativity, Emotional Intelligence, Empathy, Effective Communication","Emotional Intelligence, Coaching, Active Listening",0.5181819033569337
"Work Ethic, Analytical Thinking, Emotional Intelligence, Negotiation","Analytical Thinking, Teamwork, Conflict Resolution, Time Management",0.4383916398577101
"Patience, Critical Thinking, Public Speaking, Work Ethic, Problem Solving","Networking, Collaboration, Coaching, Effective Communication, Communication",0.42785701795466896
"Team Collaboration, Stress Management, Patience","Mentorship, Creativity, Effective Communication, Decision Making, Collaboration",0.2472805912271968
"Conflict Resolution, Leadership, Creativity, Critical Thinking, Active Listening","Active Listening, Public Speaking, Teamwork, Leadership",0.2480874619714571
"Creativity, Problem Solving, Networking","Patience, Time Management, Communication, Negotiation, Interpersonal Skills, Stress Management",0.2673402378583777
"Communication, Interpersonal Skills, Leadership","Team Collaboration, Adaptability, Time Management, Emotional Intelligence, Leadership",0.42738508445683443
"Stress Management, Emotional Intelligence, Public Speaking, Coaching","Teamwork, Networking, Stress Management, Negotiation, Public Speaking, Time Management",0.1278311096227351
"Effective Communication, Coaching, Interpersonal Skills, Decision Making","Patience, Teamwork, Work Ethic",0.12759217824803407
"Patience, Empathy, Negotiation, Adaptability, Problem Solving","Communication, Time Management, Decision Making, Stress Management, Collaboration, Confidence",0.527025615616467
"Public Speaking, Confidence, Stress Management","Patience, Communication, Active Listening",0.16666660911581532
"Team Collaboration, Stress Management, Active Listening, Interpersonal Skills, Teamwork","Emotional Intelligence, Analytical Thinking, Coaching, Conflict Resolution, Mentorship",0.5363953041486382
"Critical Thinking, Analytical Thinking, Public Speaking, Conflict Resolution, Collaboration, Creativity","Teamwork, Patience, Active Listening, Collaboration, Decision Making",0.4066702506683571
"Work Ethic, Critical Thinking, Adaptability, Analytical Thinking","Adaptability, Decision Making, Critical Thinking",0.2575478300381554
"Active Listening, Stress Management, Effective Communication, Emotional Intelligence, Adaptability","Mentorship, Stress Management, Creativity, Empathy, Confidence, Patience",0.13743382076349694
"Analytical Thinking, Empathy, Confidence, Active Listening, Time Management","Confidence, Effective Communication, Decision Making, Empathy, Emotional Intelligence, Active Listening",0.15867404280141056
"Emotional Intelligence, Coaching, Work Ethic, Problem Solving, Adaptability","Conflict Resolution, Communication, Leadership, Public Speaking, Stress Management, Decision Making",0.13825354105427703
"Confidence, Communication, Empathy, Negotiation","Critical Thinking, Problem Solving, Leadership, Active Listening, Coaching, Collaboration",0.4879562417778106
"Critical Thinking, Active Listening, Work Ethic, Confidence, Emotional Intelligence","Stress Management, Conflict Resolution, Negotiation, Effective Communication",0.4274896868187554
"Interpersonal Skills, Networking, Creativity, Leadership","Adaptability, Creativity, Active Listening, Leadership, Critical Thinking",0.2580055342758938
"Work Ethic, Networking, Stress Management, Negotiation","Adaptability, Mentorship, Active Listening, Leadership",0.16740493670280482
"Adaptability, Team Collaboration, Effective Communication, Critical Thinking, Teamwork, Collaboration","Problem Solving, Patience, Confidence",0.2871323789141468
"Work Ethic, Emotional Intelligence, Empathy","Empathy, Conflict Resolution, Teamwork, Adaptability",0.537101615953617
"Networking, Coaching, Emotional Intelligence","Public Speaking, Work Ethic, Mentorship",0.47692296601003664
"Decision Making, Emotional Intelligence, Time Management","Analytical Thinking, Empathy, Communication",0.45673434023858517
"Emotional Intelligence, Collaboration, Empathy","Decision Making, Time Management, Leadership, Empathy, Problem Solving, Creativity",0.116865966714569
